CUST_ID,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,CLV
1001,150,75,200,100,175,75,13125
1002,25,50,150,200,175,200,9375
1003,75,150,0,25,75,25,5156
1004,200,200,25,100,75,150,11756
1005,200,200,125,75,175,200,15525
1006,25,200,125,150,50,25,7950
1007,100,175,150,100,75,50,8813
1008,150,50,50,50,75,200,9375
1009,100,125,150,25,125,75,8063
1010,100,50,175,25,125,200,8313
1011,75,50,0,150,75,175,6825
1012,200,125,50,175,125,100,13425
1013,50,200,50,200,75,0,6813
1014,150,200,25,100,75,200,10381
1015,200,200,150,150,200,200,17100
1016,175,175,100,50,175,50,11619
1017,100,100,125,175,200,125,9750
1018,175,150,175,125,175,175,12813
1019,125,200,0,200,25,25,9675
1020,100,50,0,25,50,0,4950
1021,100,50,175,200,200,200,10625
1022,175,125,100,25,175,75,9938
1023,175,0,200,100,50,25,11700
1024,50,100,175,175,50,75,9150
1025,125,150,75,50,175,0,9006
1026,75,0,25,200,200,175,8400
1027,25,100,75,25,175,100,5431
1028,175,25,125,125,50,0,9900
1029,200,175,50,200,200,175,15450
1030,75,125,25,100,100,0,6188
1031,75,200,175,200,50,175,10125
1032,25,125,50,50,150,100,4875
1033,175,125,25,100,125,150,11475
1034,75,25,125,50,150,75,7013
1035,150,100,175,125,125,125,10938
1036,100,175,175,100,125,50,9563
1037,75,125,75,200,25,0,8175
1038,25,25,125,50,100,125,5225
1039,25,0,175,50,75,50,5625
1040,175,0,150,125,150,100,11413
1041,75,200,150,150,100,25,9763
1042,125,200,200,75,125,75,10813
1043,100,125,100,150,150,100,8875
1044,50,25,200,150,75,150,7563
1045,100,125,50,50,75,0,7275
1046,200,50,175,200,200,125,15900
1047,150,175,100,100,25,50,11025
1048,200,75,125,50,125,125,10688
1049,150,175,50,75,125,125,10244
1050,25,200,200,100,25,175,8594
1051,125,100,0,0,0,100,5250
1052,75,100,25,0,50,125,4625
1053,100,50,100,25,175,25,8025
1054,100,175,175,0,175,200,10656
1055,200,0,75,25,150,175,10313
1056,150,75,75,75,200,200,10588
1057,175,75,75,125,50,200,11700
1058,25,150,200,100,100,75,7375
1059,75,125,75,175,200,75,8250
1060,200,200,175,75,25,200,15075
1061,125,125,0,75,175,75,8925
1062,125,125,175,0,25,150,10275
1063,175,125,50,125,150,200,11688
1064,25,50,175,100,175,25,6944
1065,175,0,75,100,50,75,8125
1066,125,50,75,175,75,0,8456
1067,150,100,200,0,175,175,11756
1068,100,100,0,75,100,50,5750
1069,75,100,125,200,25,100,8594
1070,100,25,175,50,100,100,8388
1071,200,200,200,50,125,175,15975
1072,100,125,150,125,25,175,9694
1073,75,175,125,75,50,100,7500
1074,75,125,175,200,100,150,9625
1075,125,75,75,125,125,200,9694
1076,50,100,75,50,50,200,6600
1077,175,75,75,125,175,50,11925
1078,75,150,25,200,25,0,7575
1079,50,75,0,100,0,100,4125
1080,200,200,200,200,200,125,15125
1081,100,200,200,50,50,50,10950
1082,150,175,50,25,50,175,8500
1083,200,125,100,200,25,25,12169
1084,75,150,175,200,125,125,11925
1085,75,25,100,125,125,200,8625
1086,75,125,75,75,25,100,7275
1087,150,75,50,200,125,75,9313
1088,125,200,50,0,0,150,7250
1089,25,200,150,200,125,175,9694
1090,50,100,150,50,25,125,6063
1091,150,0,100,125,200,100,10175
1092,100,100,125,50,150,50,7750
1093,50,200,75,150,200,25,9300
1094,50,200,100,100,100,75,7838
1095,200,0,25,150,50,200,9250
1096,150,200,25,125,50,75,9763
1097,100,100,125,150,100,125,9625
1098,100,75,200,200,100,50,9750
1099,25,150,150,125,100,175,8113
1100,125,200,25,75,75,200,8438
